GEOid,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US54011001500,54011001500,"Census Tract 15, Cabell County, West Virginia",2189,325
1400000US54011001600,54011001600,"Census Tract 16, Cabell County, West Virginia",1254,232
1400000US54011001800,54011001800,"Census Tract 18, Cabell County, West Virginia",3608,363
1400000US54011001900,54011001900,"Census Tract 19, Cabell County, West Virginia",2289,247
1400000US54011002000,54011002000,"Census Tract 20, Cabell County, West Virginia",3352,262
1400000US54011002100,54011002100,"Census Tract 21, Cabell County, West Virginia",3282,341
1400000US54011010102,54011010102,"Census Tract 101.02, Cabell County, West Virginia",6210,488
1400000US54011010201,54011010201,"Census Tract 102.01, Cabell County, West Virginia",5353,414
1400000US54011010202,54011010202,"Census Tract 102.02, Cabell County, West Virginia",3771,279
1400000US54011010300,54011010300,"Census Tract 103, Cabell County, West Virginia",2898,245
1400000US54011010400,54011010400,"Census Tract 104, Cabell County, West Virginia",7036,446
1400000US54011010500,54011010500,"Census Tract 105, Cabell County, West Virginia",5746,570
1400000US54011010600,54011010600,"Census Tract 106, Cabell County, West Virginia",3855,449
1400000US54011010700,54011010700,"Census Tract 107, Cabell County, West Virginia",7622,548
1400000US54011010800,54011010800,"Census Tract 108, Cabell County, West Virginia",6128,524
1400000US54011010900,54011010900,"Census Tract 109, Cabell County, West Virginia",1756,235
1400000US54013962600,54013962600,"Census Tract 9626, Calhoun County, West Virginia",3657,298
1400000US54013962700,54013962700,"Census Tract 9627, Calhoun County, West Virginia",3926,298
1400000US54015957900,54015957900,"Census Tract 9579, Clay County, West Virginia",3633,310
1400000US54015958000,54015958000,"Census Tract 9580, Clay County, West Virginia",3565,297
1400000US54015958100,54015958100,"Census Tract 9581, Clay County, West Virginia",2028,316
1400000US54017965000,54017965000,"Census Tract 9650, Doddridge County, West Virginia",3906,341
1400000US54017965100,54017965100,"Census Tract 9651, Doddridge County, West Virginia",4376,341
1400000US54019020100,54019020100,"Census Tract 201, Fayette County, West Virginia",5311,554
1400000US54019020201,54019020201,"Census Tract 202.01, Fayette County, West Virginia",4426,466
1400000US54019020202,54019020202,"Census Tract 202.02, Fayette County, West Virginia",4313,443
1400000US54019020300,54019020300,"Census Tract 203, Fayette County, West Virginia",3027,385
1400000US54019020400,54019020400,"Census Tract 204, Fayette County, West Virginia",4146,488
1400000US54019020500,54019020500,"Census Tract 205, Fayette County, West Virginia",2313,262
1400000US54019020600,54019020600,"Census Tract 206, Fayette County, West Virginia",2084,259
1400000US54019020700,54019020700,"Census Tract 207, Fayette County, West Virginia",4365,483
1400000US54019020800,54019020800,"Census Tract 208, Fayette County, West Virginia",5655,505
1400000US54019020900,54019020900,"Census Tract 209, Fayette County, West Virginia",4526,444
1400000US54019021000,54019021000,"Census Tract 210, Fayette County, West Virginia",2698,381
1400000US54019021100,54019021100,"Census Tract 211, Fayette County, West Virginia",2845,357
1400000US54021967700,54021967700,"Census Tract 9677, Gilmer County, West Virginia",6067,486
1400000US54021967800,54021967800,"Census Tract 9678, Gilmer County, West Virginia",2639,486
1400000US54023969400,54023969400,"Census Tract 9694, Grant County, West Virginia",3147,361
1400000US54023969500,54023969500,"Census Tract 9695, Grant County, West Virginia",3953,384
1400000US54023969600,54023969600,"Census Tract 9696, Grant County, West Virginia",4729,390
1400000US54025950100,54025950100,"Census Tract 9501, Greenbrier County, West Virginia",5381,463
1400000US54025950200,54025950200,"Census Tract 9502, Greenbrier County, West Virginia",4094,330
1400000US54025950300,54025950300,"Census Tract 9503, Greenbrier County, West Virginia",3792,351
1400000US54025950400,54025950400,"Census Tract 9504, Greenbrier County, West Virginia",7368,615
1400000US54025950500,54025950500,"Census Tract 9505, Greenbrier County, West Virginia",3244,335
1400000US54025950600,54025950600,"Census Tract 9506, Greenbrier County, West Virginia",5481,498
1400000US54025950700,54025950700,"Census Tract 9507, Greenbrier County, West Virginia",6279,465
1400000US54027968200,54027968200,"Census Tract 9682, Hampshire County, West Virginia",4583,557
1400000US54027968300,54027968300,"Census Tract 9683, Hampshire County, West Virginia",6150,658
1400000US54027968400,54027968400,"Census Tract 9684, Hampshire County, West Virginia",4664,502
1400000US54027968500,54027968500,"Census Tract 9685, Hampshire County, West Virginia",3219,441
1400000US54027968600,54027968600,"Census Tract 9686, Hampshire County, West Virginia",5058,578
1400000US54029020600,54029020600,"Census Tract 206, Hancock County, West Virginia",4254,276
1400000US54029020700,54029020700,"Census Tract 207, Hancock County, West Virginia",4322,301
1400000US54029020900,54029020900,"Census Tract 209, Hancock County, West Virginia",3026,404
1400000US54029021100,54029021100,"Census Tract 211, Hancock County, West Virginia",3716,292
1400000US54029021200,54029021200,"Census Tract 212, Hancock County, West Virginia",3508,323
1400000US54029021300,54029021300,"Census Tract 213, Hancock County, West Virginia",3362,333
1400000US54029021400,54029021400,"Census Tract 214, Hancock County, West Virginia",3618,272
1400000US54029021500,54029021500,"Census Tract 215, Hancock County, West Virginia",4563,458
1400000US54031970100,54031970100,"Census Tract 9701, Hardy County, West Virginia",5152,447
1400000US54031970200,54031970200,"Census Tract 9702, Hardy County, West Virginia",4822,425
1400000US54031970300,54031970300,"Census Tract 9703, Hardy County, West Virginia",3981,429
1400000US54033030100,54033030100,"Census Tract 301, Harrison County, West Virginia",2826,310
1400000US54033030200,54033030200,"Census Tract 302, Harrison County, West Virginia",2729,329
1400000US54033030300,54033030300,"Census Tract 303, Harrison County, West Virginia",2792,581
1400000US54033030400,54033030400,"Census Tract 304, Harrison County, West Virginia",3154,281
1400000US54033030500,54033030500,"Census Tract 305, Harrison County, West Virginia",4605,498
1400000US54033030601,54033030601,"Census Tract 306.01, Harrison County, West Virginia",2642,327
1400000US54033030602,54033030602,"Census Tract 306.02, Harrison County, West Virginia",6346,569
1400000US54033030700,54033030700,"Census Tract 307, Harrison County, West Virginia",2446,233
1400000US54033030800,54033030800,"Census Tract 308, Harrison County, West Virginia",4288,436
1400000US54033031000,54033031000,"Census Tract 310, Harrison County, West Virginia",3565,351
1400000US54033031100,54033031100,"Census Tract 311, Harrison County, West Virginia",2311,233
1400000US54033031200,54033031200,"Census Tract 312, Harrison County, West Virginia",2350,201
1400000US54033031300,54033031300,"Census Tract 313, Harrison County, West Virginia",2595,282
1400000US54033031400,54033031400,"Census Tract 314, Harrison County, West Virginia",2860,338
1400000US54033031500,54033031500,"Census Tract 315, Harrison County, West Virginia",1564,207
1400000US54033031600,54033031600,"Census Tract 316, Harrison County, West Virginia",2432,247
1400000US54033031700,54033031700,"Census Tract 317, Harrison County, West Virginia",2104,380
1400000US54033031800,54033031800,"Census Tract 318, Harrison County, West Virginia",2309,371
1400000US54033031900,54033031900,"Census Tract 319, Harrison County, West Virginia",2476,258
1400000US54033032000,54033032000,"Census Tract 320, Harrison County, West Virginia",2359,348
1400000US54033032101,54033032101,"Census Tract 321.01, Harrison County, West Virginia",4087,328
1400000US54033032102,54033032102,"Census Tract 321.02, Harrison County, West Virginia",6229,284
1400000US54035963200,54035963200,"Census Tract 9632, Jackson County, West Virginia",5048,604
1400000US54035963300,54035963300,"Census Tract 9633, Jackson County, West Virginia",4276,183
1400000US54035963400,54035963400,"Census Tract 9634, Jackson County, West Virginia",4417,394
1400000US54035963500,54035963500,"Census Tract 9635, Jackson County, West Virginia",2998,335
1400000US54035963600,54035963600,"Census Tract 9636, Jackson County, West Virginia",4427,410
1400000US54035963700,54035963700,"Census Tract 9637, Jackson County, West Virginia",8063,648
1400000US54037972201,54037972201,"Census Tract 9722.01, Jefferson County, West Virginia",4525,405
1400000US54037972203,54037972203,"Census Tract 9722.03, Jefferson County, West Virginia",2080,208
1400000US54037972204,54037972204,"Census Tract 9722.04, Jefferson County, West Virginia",2607,336
1400000US54037972300,54037972300,"Census Tract 9723, Jefferson County, West Virginia",5145,424
1400000US54037972401,54037972401,"Census Tract 9724.01, Jefferson County, West Virginia",2750,271
1400000US54037972402,54037972402,"Census Tract 9724.02, Jefferson County, West Virginia",4500,401
1400000US54037972501,54037972501,"Census Tract 9725.01, Jefferson County, West Virginia",4794,461
1400000US54037972503,54037972503,"Census Tract 9725.03, Jefferson County, West Virginia",3153,220
1400000US54037972505,54037972505,"Census Tract 9725.05, Jefferson County, West Virginia",2509,374
1400000US54037972506,54037972506,"Census Tract 9725.06, Jefferson County, West Virginia",3002,440
1400000US54037972601,54037972601,"Census Tract 9726.01, Jefferson County, West Virginia",2123,229
1400000US54037972602,54037972602,"Census Tract 9726.02, Jefferson County, West Virginia",4241,362
1400000US54037972701,54037972701,"Census Tract 9727.01, Jefferson County, West Virginia",2713,224
1400000US54037972702,54037972702,"Census Tract 9727.02, Jefferson County, West Virginia",3943,282
1400000US54037972800,54037972800,"Census Tract 9728, Jefferson County, West Virginia",6565,614
1400000US54039000100,54039000100,"Census Tract 1, Kanawha County, West Virginia",1286,163
1400000US54039000200,54039000200,"Census Tract 2, Kanawha County, West Virginia",2133,290
1400000US54039000300,54039000300,"Census Tract 3, Kanawha County, West Virginia",3054,332
1400000US54039000500,54039000500,"Census Tract 5, Kanawha County, West Virginia",2153,240
1400000US54039000600,54039000600,"Census Tract 6, Kanawha County, West Virginia",4430,414
1400000US54039000700,54039000700,"Census Tract 7, Kanawha County, West Virginia",1978,246
1400000US54039000800,54039000800,"Census Tract 8, Kanawha County, West Virginia",1515,174
1400000US54039000900,54039000900,"Census Tract 9, Kanawha County, West Virginia",780,106
1400000US54039001100,54039001100,"Census Tract 11, Kanawha County, West Virginia",5193,492
1400000US54039001200,54039001200,"Census Tract 12, Kanawha County, West Virginia",1629,209
1400000US54039001300,54039001300,"Census Tract 13, Kanawha County, West Virginia",2154,215
1400000US54039001500,54039001500,"Census Tract 15, Kanawha County, West Virginia",4659,337
1400000US54039001700,54039001700,"Census Tract 17, Kanawha County, West Virginia",1839,159
1400000US54039001800,54039001800,"Census Tract 18, Kanawha County, West Virginia",2683,250
1400000US54039001901,54039001901,"Census Tract 19.01, Kanawha County, West Virginia",4035,346
1400000US54039001902,54039001902,"Census Tract 19.02, Kanawha County, West Virginia",3842,263
1400000US54039002000,54039002000,"Census Tract 20, Kanawha County, West Virginia",3362,238
1400000US54039002100,54039002100,"Census Tract 21, Kanawha County, West Virginia",5317,625
1400000US54039010100,54039010100,"Census Tract 101, Kanawha County, West Virginia",3939,299
1400000US54039010200,54039010200,"Census Tract 102, Kanawha County, West Virginia",2166,175
1400000US54039010300,54039010300,"Census Tract 103, Kanawha County, West Virginia",2325,243
1400000US54039010400,54039010400,"Census Tract 104, Kanawha County, West Virginia",1370,176
1400000US54039010500,54039010500,"Census Tract 105, Kanawha County, West Virginia",5192,676
1400000US54039010600,54039010600,"Census Tract 106, Kanawha County, West Virginia",5303,236
1400000US54039010701,54039010701,"Census Tract 107.01, Kanawha County, West Virginia",5488,540
1400000US54039010702,54039010702,"Census Tract 107.02, Kanawha County, West Virginia",5132,454
1400000US54039010801,54039010801,"Census Tract 108.01, Kanawha County, West Virginia",6989,567
1400000US54039010802,54039010802,"Census Tract 108.02, Kanawha County, West Virginia",3854,371
1400000US54039010900,54039010900,"Census Tract 109, Kanawha County, West Virginia",2935,477
1400000US54039011000,54039011000,"Census Tract 110, Kanawha County, West Virginia",4881,524
1400000US54039011100,54039011100,"Census Tract 111, Kanawha County, West Virginia",5198,528
1400000US54039011200,54039011200,"Census Tract 112, Kanawha County, West Virginia",3599,367
1400000US54039011301,54039011301,"Census Tract 113.01, Kanawha County, West Virginia",2870,277
1400000US54039011302,54039011302,"Census Tract 113.02, Kanawha County, West Virginia",5655,409
1400000US54039011401,54039011401,"Census Tract 114.01, Kanawha County, West Virginia",2087,253
1400000US54039011402,54039011402,"Census Tract 114.02, Kanawha County, West Virginia",3807,372
1400000US54039011500,54039011500,"Census Tract 115, Kanawha County, West Virginia",3965,290
1400000US54039011800,54039011800,"Census Tract 118, Kanawha County, West Virginia",5457,402
1400000US54039012100,54039012100,"Census Tract 121, Kanawha County, West Virginia",3876,339
1400000US54039012200,54039012200,"Census Tract 122, Kanawha County, West Virginia",4609,536
1400000US54039012300,54039012300,"Census Tract 123, Kanawha County, West Virginia",7603,552
1400000US54039012800,54039012800,"Census Tract 128, Kanawha County, West Virginia",4365,256
1400000US54039012900,54039012900,"Census Tract 129, Kanawha County, West Virginia",1374,157
1400000US54039013000,54039013000,"Census Tract 130, Kanawha County, West Virginia",4529,331
1400000US54039013100,54039013100,"Census Tract 131, Kanawha County, West Virginia",4250,349
1400000US54039013200,54039013200,"Census Tract 132, Kanawha County, West Virginia",3408,389
1400000US54039013300,54039013300,"Census Tract 133, Kanawha County, West Virginia",2472,206
1400000US54039013400,54039013400,"Census Tract 134, Kanawha County, West Virginia",2328,229
1400000US54039013500,54039013500,"Census Tract 135, Kanawha County, West Virginia",2729,231
1400000US54039013600,54039013600,"Census Tract 136, Kanawha County, West Virginia",4512,286
1400000US54039013701,54039013701,"Census Tract 137.01, Kanawha County, West Virginia",2190,169
1400000US54039013702,54039013702,"Census Tract 137.02, Kanawha County, West Virginia",6478,583
1400000US54039013800,54039013800,"Census Tract 138, Kanawha County, West Virginia",2788,305
1400000US54041967200,54041967200,"Census Tract 9672, Lewis County, West Virginia",3549,356
1400000US54041967300,54041967300,"Census Tract 9673, Lewis County, West Virginia",3818,343
1400000US54041967400,54041967400,"Census Tract 9674, Lewis County, West Virginia",2596,253
1400000US54041967500,54041967500,"Census Tract 9675, Lewis County, West Virginia",2949,313
1400000US54041967600,54041967600,"Census Tract 9676, Lewis County, West Virginia",3500,317
1400000US54043955400,54043955400,"Census Tract 9554, Lincoln County, West Virginia",6854,554
1400000US54043955500,54043955500,"Census Tract 9555, Lincoln County, West Virginia",3717,366
1400000US54043955600,54043955600,"Census Tract 9556, Lincoln County, West Virginia",4079,472
1400000US54043955700,54043955700,"Census Tract 9557, Lincoln County, West Virginia",3229,395
1400000US54043955800,54043955800,"Census Tract 9558, Lincoln County, West Virginia",3720,420
1400000US54045956101,54045956101,"Census Tract 9561.01, Logan County, West Virginia",7148,516
1400000US54045956102,54045956102,"Census Tract 9561.02, Logan County, West Virginia",3396,353
1400000US54045956200,54045956200,"Census Tract 9562, Logan County, West Virginia",3544,439
1400000US54045956400,54045956400,"Census Tract 9564, Logan County, West Virginia",3728,396
1400000US54045956500,54045956500,"Census Tract 9565, Logan County, West Virginia",2137,299
1400000US54045956600,54045956600,"Census Tract 9566, Logan County, West Virginia",4878,515
1400000US54045956700,54045956700,"Census Tract 9567, Logan County, West Virginia",4175,399
1400000US54045956800,54045956800,"Census Tract 9568, Logan County, West Virginia",4679,486
1400000US54045956900,54045956900,"Census Tract 9569, Logan County, West Virginia",2484,261
1400000US54047953600,54047953600,"Census Tract 9536, McDowell County, West Virginia",1192,228
1400000US54047953800,54047953800,"Census Tract 9538, McDowell County, West Virginia",3378,342
1400000US54047953900,54047953900,"Census Tract 9539, McDowell County, West Virginia",2241,261
1400000US54047954000,54047954000,"Census Tract 9540, McDowell County, West Virginia",1766,296
1400000US54047954200,54047954200,"Census Tract 9542, McDowell County, West Virginia",2214,311
1400000US54047954501,54047954501,"Census Tract 9545.01, McDowell County, West Virginia",1795,191
1400000US54047954503,54047954503,"Census Tract 9545.03, McDowell County, West Virginia",4240,373
1400000US54047954504,54047954504,"Census Tract 9545.04, McDowell County, West Virginia",4455,450
1400000US54049020100,54049020100,"Census Tract 201, Marion County, West Virginia",1484,259
1400000US54049020200,54049020200,"Census Tract 202, Marion County, West Virginia",2873,411
1400000US54049020300,54049020300,"Census Tract 203, Marion County, West Virginia",3727,316
1400000US54049020400,54049020400,"Census Tract 204, Marion County, West Virginia",1459,215
1400000US54049020500,54049020500,"Census Tract 205, Marion County, West Virginia",2108,272
1400000US54049020600,54049020600,"Census Tract 206, Marion County, West Virginia",1620,147
1400000US54049020700,54049020700,"Census Tract 207, Marion County, West Virginia",3884,367
1400000US54049020800,54049020800,"Census Tract 208, Marion County, West Virginia",2785,314
1400000US54049020900,54049020900,"Census Tract 209, Marion County, West Virginia",4072,281
1400000US54049021000,54049021000,"Census Tract 210, Marion County, West Virginia",4856,540
1400000US54049021100,54049021100,"Census Tract 211, Marion County, West Virginia",2893,342
1400000US54049021200,54049021200,"Census Tract 212, Marion County, West Virginia",6261,442
1400000US54049021300,54049021300,"Census Tract 213, Marion County, West Virginia",3439,395
1400000US54049021400,54049021400,"Census Tract 214, Marion County, West Virginia",1862,186
1400000US54049021500,54049021500,"Census Tract 215, Marion County, West Virginia",3701,367
1400000US54049021600,54049021600,"Census Tract 216, Marion County, West Virginia",4574,391
1400000US54049021700,54049021700,"Census Tract 217, Marion County, West Virginia",1973,201
1400000US54049021800,54049021800,"Census Tract 218, Marion County, West Virginia",3127,326
1400000US54051020200,54051020200,"Census Tract 202, Marshall County, West Virginia",2021,275
1400000US54051020500,54051020500,"Census Tract 205, Marshall County, West Virginia",947,122
1400000US54051020601,54051020601,"Census Tract 206.01, Marshall County, West Virginia",2104,188
1400000US54051020702,54051020702,"Census Tract 207.02, Marshall County, West Virginia",1405,141
1400000US54051020800,54051020800,"Census Tract 208, Marshall County, West Virginia",4995,417
1400000US54051020900,54051020900,"Census Tract 209, Marshall County, West Virginia",5477,515
1400000US54051021000,54051021000,"Census Tract 210, Marshall County, West Virginia",6277,618
1400000US54051021100,54051021100,"Census Tract 211, Marshall County, West Virginia",5130,394
1400000US54051021300,54051021300,"Census Tract 213, Marshall County, West Virginia",4360,382
1400000US54053954801,54053954801,"Census Tract 9548.01, Mason County, West Virginia",3313,434
1400000US54053954802,54053954802,"Census Tract 9548.02, Mason County, West Virginia",4285,378
1400000US54053954900,54053954900,"Census Tract 9549, Mason County, West Virginia",6526,565
1400000US54053955000,54053955000,"Census Tract 9550, Mason County, West Virginia",5125,459
1400000US54053955101,54053955101,"Census Tract 9551.01, Mason County, West Virginia",3063,377
1400000US54053955102,54053955102,"Census Tract 9551.02, Mason County, West Virginia",4895,522
1400000US54055000900,54055000900,"Census Tract 9, Mercer County, West Virginia",3027,325
1400000US54055001000,54055001000,"Census Tract 10, Mercer County, West Virginia",5167,569
1400000US54055001100,54055001100,"Census Tract 11, Mercer County, West Virginia",5950,572
1400000US54055001200,54055001200,"Census Tract 12, Mercer County, West Virginia",3314,287
1400000US54055001300,54055001300,"Census Tract 13, Mercer County, West Virginia",4301,391
1400000US54055001400,54055001400,"Census Tract 14, Mercer County, West Virginia",2169,253
1400000US54055001500,54055001500,"Census Tract 15, Mercer County, West Virginia",5789,539
1400000US54055001600,54055001600,"Census Tract 16, Mercer County, West Virginia",1395,199
1400000US54055001700,54055001700,"Census Tract 17, Mercer County, West Virginia",5011,725
1400000US54055001800,54055001800,"Census Tract 18, Mercer County, West Virginia",5593,604
1400000US54055001900,54055001900,"Census Tract 19, Mercer County, West Virginia",1611,205
1400000US54055002000,54055002000,"Census Tract 20, Mercer County, West Virginia",2709,293
1400000US54055002100,54055002100,"Census Tract 21, Mercer County, West Virginia",3227,273
1400000US54055002200,54055002200,"Census Tract 22, Mercer County, West Virginia",4611,398
1400000US54055002300,54055002300,"Census Tract 23, Mercer County, West Virginia",5313,517
1400000US54055002400,54055002400,"Census Tract 24, Mercer County, West Virginia",2974,301
1400000US54057010100,54057010100,"Census Tract 101, Mineral County, West Virginia",2282,342
1400000US54057010200,54057010200,"Census Tract 102, Mineral County, West Virginia",3324,340
1400000US54057010300,54057010300,"Census Tract 103, Mineral County, West Virginia",4777,503
1400000US54057010400,54057010400,"Census Tract 104, Mineral County, West Virginia",4572,507
1400000US54057010500,54057010500,"Census Tract 105, Mineral County, West Virginia",4560,810
1400000US54057010600,54057010600,"Census Tract 106, Mineral County, West Virginia",6290,468
1400000US54057010700,54057010700,"Census Tract 107, Mineral County, West Virginia",2107,257
1400000US54059957100,54059957100,"Census Tract 9571, Mingo County, West Virginia",4189,389
1400000US54059957200,54059957200,"Census Tract 9572, Mingo County, West Virginia",3480,386
1400000US54059957300,54059957300,"Census Tract 9573, Mingo County, West Virginia",4021,335
1400000US54059957400,54059957400,"Census Tract 9574, Mingo County, West Virginia",3857,205
1400000US54059957500,54059957500,"Census Tract 9575, Mingo County, West Virginia",3467,319
1400000US54059957600,54059957600,"Census Tract 9576, Mingo County, West Virginia",3399,298
1400000US54059957700,54059957700,"Census Tract 9577, Mingo County, West Virginia",3816,335
1400000US54061010101,54061010101,"Census Tract 101.01, Monongalia County, West Virginia",1742,506
1400000US54061010102,54061010102,"Census Tract 101.02, Monongalia County, West Virginia",4927,606
1400000US54061010201,54061010201,"Census Tract 102.01, Monongalia County, West Virginia",5147,523
1400000US54061010202,54061010202,"Census Tract 102.02, Monongalia County, West Virginia",4178,664
1400000US54061010400,54061010400,"Census Tract 104, Monongalia County, West Virginia",3959,362
1400000US54061010600,54061010600,"Census Tract 106, Monongalia County, West Virginia",5632,656
1400000US54061010700,54061010700,"Census Tract 107, Monongalia County, West Virginia",3357,496
1400000US54061010800,54061010800,"Census Tract 108, Monongalia County, West Virginia",4395,516
1400000US54061010901,54061010901,"Census Tract 109.01, Monongalia County, West Virginia",3463,354
1400000US54061010902,54061010902,"Census Tract 109.02, Monongalia County, West Virginia",3574,353
1400000US54061011000,54061011000,"Census Tract 110, Monongalia County, West Virginia",4769,422
1400000US54061011100,54061011100,"Census Tract 111, Monongalia County, West Virginia",2440,242
1400000US54061011200,54061011200,"Census Tract 112, Monongalia County, West Virginia",3725,193
1400000US54061011300,54061011300,"Census Tract 113, Monongalia County, West Virginia",4032,375
1400000US54061011400,54061011400,"Census Tract 114, Monongalia County, West Virginia",3852,457
1400000US54061011500,54061011500,"Census Tract 115, Monongalia County, West Virginia",5017,516
1400000US54061011600,54061011600,"Census Tract 116, Monongalia County, West Virginia",5352,583
1400000US54061011700,54061011700,"Census Tract 117, Monongalia County, West Virginia",4085,417
1400000US54061011803,54061011803,"Census Tract 118.03, Monongalia County, West Virginia",3296,317
1400000US54061011804,54061011804,"Census Tract 118.04, Monongalia County, West Virginia",3415,572
1400000US54061011805,54061011805,"Census Tract 118.05, Monongalia County, West Virginia",5260,504
1400000US54061011806,54061011806,"Census Tract 118.06, Monongalia County, West Virginia",4944,395
1400000US54061011900,54061011900,"Census Tract 119, Monongalia County, West Virginia",4139,437
1400000US54061012000,54061012000,"Census Tract 120, Monongalia County, West Virginia",5632,654
1400000US54063950100,54063950100,"Census Tract 9501, Monroe County, West Virginia",3609,308
1400000US54063950200,54063950200,"Census Tract 9502, Monroe County, West Virginia",4539,381
1400000US54063950300,54063950300,"Census Tract 9503, Monroe County, West Virginia",5376,436
1400000US54065970700,54065970700,"Census Tract 9707, Morgan County, West Virginia",6017,566
1400000US54065970800,54065970800,"Census Tract 9708, Morgan County, West Virginia",4007,472
1400000US54065970900,54065970900,"Census Tract 9709, Morgan County, West Virginia",2748,519
1400000US54065971000,54065971000,"Census Tract 9710, Morgan County, West Virginia",4678,515
1400000US54067950100,54067950100,"Census Tract 9501, Nicholas County, West Virginia",3123,319
1400000US54067950200,54067950200,"Census Tract 9502, Nicholas County, West Virginia",6358,497
1400000US54067950300,54067950300,"Census Tract 9503, Nicholas County, West Virginia",1325,177
1400000US54067950400,54067950400,"Census Tract 9504, Nicholas County, West Virginia",4497,496
1400000US54067950500,54067950500,"Census Tract 9505, Nicholas County, West Virginia",1417,251
1400000US54067950600,54067950600,"Census Tract 9506, Nicholas County, West Virginia",5862,595
1400000US54067950700,54067950700,"Census Tract 9507, Nicholas County, West Virginia",3508,471
1400000US54069000200,54069000200,"Census Tract 2, Ohio County, West Virginia",3160,212
1400000US54069000300,54069000300,"Census Tract 3, Ohio County, West Virginia",1970,199
1400000US54069000400,54069000400,"Census Tract 4, Ohio County, West Virginia",1161,155
1400000US54069000500,54069000500,"Census Tract 5, Ohio County, West Virginia",1514,164
